,Date,Load,System Generation
0,2015-03-28,157675.5799924,153717.1979189
1,2015-03-29,156493.5734641,153005.3136622
2,2015-03-30,164368.1963873,159560.7723488
3,2015-03-31,166180.8088104,163179.8986073
4,2015-04-01,169264.1998098,165484.9441107
5,2015-04-02,166188.0325662,163132.6924978
6,2015-04-03,155849.6527413,157629.9751657
7,2015-04-04,158780.6777078,161356.2424718
8,2015-04-05,156195.3571373,158424.8897149
9,2015-04-06,164830.6501501,167370.40032380002
10,2015-04-07,164632.6584555,166760.8398469
11,2015-04-08,163855.5370091,165821.7319787
12,2015-04-09,164147.8469244,164512.6287267
13,2015-04-10,163551.7509432,165351.5065564
14,2015-04-11,155951.6915348,156298.9992095
15,2015-04-12,156962.9683917,158695.1104192
16,2015-04-13,162304.5092092,164368.30887
17,2015-04-14,164156.1887234,166314.201249
18,2015-04-15,162879.9671748,165181.6993899
19,2015-04-16,163703.8952236,167702.3336085
20,2015-04-17,163551.8028844,168333.74774310002
21,2015-04-18,154635.9129321,159639.7293997
22,2015-04-19,152991.2305755,156070.5271571
23,2015-04-20,162390.9189575,165895.4460656
24,2015-04-21,162439.2526042,165429.1924258
25,2015-04-22,162635.4314233,165141.8726788
26,2015-04-23,162405.1462197,164861.7173967
27,2015-04-24,162648.1266292,165386.1283533
28,2015-04-25,156471.0644553,160904.5584824
29,2015-04-26,153447.1254126,155531.8276501
30,2015-04-27,165359.9885795,166083.9957954
31,2015-04-28,164582.8065471,163789.3325413
32,2015-04-29,163173.4294722,162519.8040722
33,2015-04-30,162520.6309566,164268.2194304
34,2015-05-01,159965.9776767,163573.1733711
35,2015-05-02,152011.2935929,156161.1929361
36,2015-05-03,149924.2039172,152600.7590539
37,2015-05-04,159795.2379481,161246.5952049
38,2015-05-05,160982.1234002,163031.6849425
39,2015-05-06,162216.0497784,166065.4605318
40,2015-05-07,157628.0481067,161134.5303407
41,2015-05-08,154482.21506729999,158193.3990525
42,2015-05-09,148086.6830457,150027.6734785
43,2015-05-10,147395.7962602,151688.8993091
44,2015-05-11,156336.6016028,155263.1660407
45,2015-05-12,157083.5923408,154278.2543075
46,2015-05-13,156946.9760686,156478.9336128
47,2015-05-14,156966.4024135,159958.4064251
48,2015-05-15,156398.1137969,160146.9991278
49,2015-05-16,152048.8912911,155137.8340655
50,2015-05-17,147205.378337,150782.6553274
51,2015-05-18,147977.5831458,150546.9873488
52,2015-05-19,158245.1093003,161084.4995284
53,2015-05-20,158985.2449466,158962.4109909
54,2015-05-21,160621.2746117,155483.1092637
55,2015-05-22,160274.1519175,153469.7871198
56,2015-05-23,153418.9093481,146854.6732265
57,2015-05-24,153832.7404927,151648.5221001
58,2015-05-25,161661.7212504,153531.3406867
59,2015-05-26,160525.3136476,158821.4649379
60,2015-05-27,161396.6130146,159933.8253086
61,2015-05-28,157423.1749421,160969.0365452
62,2015-05-29,154065.2419559,150406.1811778
63,2015-05-30,148213.7797144,138345.6733571
64,2015-05-31,150696.4881755,147792.544512
65,2015-06-01,162651.8087575,157362.928306
66,2015-06-02,162112.8762153,158951.364365
67,2015-06-03,161341.7175914,160085.7475457
68,2015-06-04,160495.5230522,157403.8312342
69,2015-06-05,162490.1810402,155611.4340433
70,2015-06-06,159359.7337296,151517.6178266
71,2015-06-07,159849.67426,156049.33055020001
72,2015-06-08,171204.2659518,170508.4659217
73,2015-06-09,169581.8775926,169507.1212941
74,2015-06-10,168299.4301139,163565.4507364
75,2015-06-11,169754.4186429,165235.2245841
76,2015-06-12,162031.565871,160182.2249833
77,2015-06-13,151843.2103185,154234.98648310002
78,2015-06-14,150519.2955148,151990.2574742
79,2015-06-15,160959.4065657,157338.0536098
80,2015-06-16,163995.3962716,161064.7877859
81,2015-06-17,162353.7242766,162713.6265501
82,2015-06-18,164181.6849935,163674.7245757
83,2015-06-19,164433.8180022,160627.1242203
84,2015-06-20,155219.0626982,154526.151192
85,2015-06-21,154549.4507733,159025.1531549
86,2015-06-22,164752.546563,158786.3430352
87,2015-06-23,166089.3567792,162495.8522102
88,2015-06-24,169818.7978791,164924.5438565
89,2015-06-25,172954.0811607,164821.1794698
